SL Target,SEQID,Module,Primary Target,Exposure (s),RA,DEC,PA,,In old sheet?,Notes
Faint, 30601014001, B, 2FHL_J1745d1m3035, 18968.8836, 266.2298, -30.6211, 341.9694
GS 1826-24, 80702324006, A, V4641_Sgr, 17469.6325, 274.7969, -25.4494, 333.3588
GS 1826-24, 80702324006, B, V4641_Sgr, 17469.6325, 274.7969, -25.4494, 333.3588
GR, 40701002002, A, W50_WESTERN_LOBE, 97596.2824, 287.6642, 5.025, 49.4106 
GR, 40701002002, B, W50_WESTERN_LOBE, 97596.2824, 287.6642, 5.025, 49.4106
GS 1826-24, 90701314002, A, SRGA_J181414d6m225604, 36283.7153, 273.592, -22.9019, 152.9156 
GS 1826-24, 90701314002, B, SRGA_J181414d6m225604, 36283.7153, 273.592, -22.9019, 152.9156 
Unkn, 90701333002, B, XTE_J1704m445, 28543.3757, 255.9861, -44.5477, 348.6537
Cas A, 90701312002, B, PNV_J23244760p6111140, 41262.9135, 351.2713, 61.1574, 233.5446
Unkn, 30602024004, B, 4U_1538m52, 21558.9129, 235.6682, -52.362, 168.4462 
GX 301-2, 80660301002, A, SRGA_J124402d9m632235, 54036.8193, 191.1175, -63.3674, 190.7561
GX 301-2, 80660301002, B, SRGA_J124402d9m632235, 54036.8193, 191.1175, -63.3674, 190.7561
LMC X-4, 90701342002, A, eRASSUJ050810d4m660653, 55783.4115, 77.1065, -66.1471, 256.0137
4U 1538-522, 90701319002, A, SGR_J1555d2m5402, 38394.582, 238.8029, -54.1073, 270.5903
Coma, 60763003002, A, SDSSJ1311p2728, 51017.4307, 197.7091, 27.4416, 345.6442
GX 1+4, 10701407004, B, Kepler, 49598.6643, 262.7044, -21.4278, 155.041 
4U 1746-370, 90601333002, A, IGR_J17379m3747, 19877.1542, 264.457, -37.7981, 344.5986
4U 1746-370, 90601333002, B, IGR_J17379m3747, 19877.1542, 264.457, -37.7981, 344.5986
PSR 1509-58, 30601016002, B, IGR_J15038m6021, 43206.9963, 226.0118, -60.3875, 339.0409
NGC 1275, 80701509002, B, AT2021ehb, 43167.8993, 46.8522, 40.3047, 45.1311
2S 0918-549, 90701315002, A, MAXI_J0903m531, 23332.006, 136.1776, -53.5405, 339.4513  
2S 0918-549, 90701315002, B, MAXI_J0903m531, 23332.006, 136.1776, -53.5405, 339.4513  










