Go here,ftp://ftp.srl.caltech.edu/pub/,Go to nustar/from_hassif/straylight_triage,,,,"Bad = No stray light, Good = Obvious stray light from this source, Easy = ONLY stray light from this source",
Name,,Sequence ID,Off-axis (deg),Exposure (ks),Checked By:,Good / Bad / Easy,Notes
GX 17+2,2MASXiJ1802473m145454,60160680002,3.301350441,19960.2966,,,
GX 17+2,PSR_J1813m1246,30101044002,1.438668452,55848.0253,,,
GX 17+2,LS_5039,30201034002,2.588026942,178093.1177,,,
GX 17+2,Swift_J1816d7m1613,90201049002,2.17325323,50398.0431,,,
GX 17+2,GX_13p1,30301003002,3.120056161,22711.1648,,,
GX 17+2,SwiftJ181723d1m164300,90301009002,2.728437305,35983.4501,,,
GX 17+2,PSR_J1826m1334,30364004002,2.485576094,51845.5252,,,
GX 17+2,SAX_J1818d6m1703,30301025002,3.059513591,53534.3246,,,
GX 17+2,PSR_J1813m1749,30364003002,3.816470136,26509.8127,,,
GX 17+2,82.1384894,551.0757159,,,,,
,,,,,,,
GRS 1758-258,IGRJ17544m2619,30002003002,1.61369754,17533.22,Brian,Maybe?,"Blended with GX 5-1, will need to check and see if it was bright"
GRS 1758-258,IGRJ17544m2619,30002003003,1.631631979,26238.4995,Brian,Maybe?,"Blended with GX 5-1, will need to check and see if it was bright"
GRS 1758-258,G1d9p0d3,40001015002,3.162021537,8913.9606,Brian,Bad,
GRS 1758-258,G1d9p0d3,40001015003,3.160559827,85397.4212,Brian,Maybe?,Right edge of FoV
GRS 1758-258,G1d9p0d3,40001015005,3.157841277,121641.8301,Brian,Maybe?,Right edge of FoV
GRS 1758-258,G1d9p0d3,40001015007,3.154950449,144685.1722,Brian,Maybe?,Right edge of FoV
GRS 1758-258,IGRJ17544m2619,90001005002,1.60351318,79252.215,Brian,Bad,Lots of mixed stray light
GRS 1758-258,TCP_J18102829m2729590,80201035002,2.7049988,47287.0994,Brian,Bad,GX 5-1 dominnates
GRS 1758-258,GX_3p1,30363001002,3.124892899,13664.2019,Brian,Bad,
GRS 1758-258,Swift_J1756d9m2508,90402313002,1.151537185,39476.062,Brian,Maybe?,Responsible for the streak?
GRS 1758-258,Swift_J1756d9m2508,90402313004,1.148390583,60978.1803,Brian,Maybe?,Responsible for the streak?
GRS 1758-258,IGR_J17591m2342,90401331002,2.056495608,27086.8402,Brian,Hard,Mixed stray light
GRS 1758-258,IGR_J17591m2342,80301311002,2.058291298,29167.8325,Brian,Bad,GX 5-1 dominates
GRS 1758-258,IGR_J17503m2636,90401333002,2.622213157,39101.1763,Brian,Bad,GX 5-1 dominates
GRS 1758-258,Swift_J1756d9m2508,90501329001,1.124461616,37737.7448,Brian,Bad,
GRS 1758-258,261.2159216,778.161456,,30102054002,,,
,,,,,,,
CEN X-3,1E1048d1m5937,30001024002,3.936067917,24771.3053,Brian,Bad,
CEN X-3,1E1048d1m5937,30001024003,3.957961353,24021.2888,Brian,Bad,
CEN X-3,1E1048d1m5937,30001024005,3.962948711,156690.4087,Brian,Bad,
CEN X-3,1E1048d1m5937,30001024007,3.96907804,111336.0237,Brian,Bad,
CEN X-3,IGRJ11366m6002,60061213001,2.021527295,157.6949,Brian,Bad,
CEN X-3,IGRJ11366m6002,60061213002,2.012756683,21565.9948,Brian,Easy,
CEN X-3,HD96670,30001050002,1.867042946,31288.8443,Brian,Easy,Fainter?
CEN X-3,HD96670,30001050004,1.869560419,50253.4955,Brian,Easy,FPMA only
CEN X-3,HD96670,30001050006,1.872521596,70451.183,Brian,Easy,FPMA only
CEN X-3,1E1048d1m5937,90202032002,3.949401209,55079.5272,Brian,Bad,
CEN X-3,1E_1145d1m6141,30501002002,3.393097293,44236.6904,Brian,Bad,
CEN X-3,151.9935228,589.8524566,,,,,
,,,,,,,
GX 5-1,IGRJ17544m2619,30002003002,1.95588296,17533.22,,,
GX 5-1,IGRJ17544m2619,30002003003,1.975581818,26238.4995,,,
GX 5-1,GX_3p1,90401335002,3.36056918,13664.2019,,,
GX 5-1,G1d9p0d3,40001015002,3.515891921,8913.9606,,,
GX 5-1,G1d9p0d3,40001015003,3.512110844,85397.4212,,,
GX 5-1,G1d9p0d3,40001015005,3.509455967,121641.8301,,,
GX 5-1,G1d9p0d3,40001015007,3.507273532,144685.1722,,,
GX 5-1,IGRJ17476m2253,60463061002,3.810374757,26097.3603,,,
GX 5-1,TCP_J18102829m2729590,80201035002,3.195968813,47287.0994,,,
GX 5-1,IGR_J17591m2342,80301311002,1.415325822,29167.8325,,,
GX 5-1,IGRJ17544m2619,90001005002,1.930135768,79252.215,,,
GX 5-1,IGR_J17591m2342,90401331002,1.415291804,27086.8402,,,
GX 5-1,IGR_J17503m2636,90401333002,2.908225781,39101.1763,,,
GX 5-1,179.2786072,666.0668292,,,,,
,,,,,,,
GX 354-0,H1743m322,80001044002,3.385029153,50449.7126,,,
GX 354-0,H1743m322,80001044004,3.3800717,61284.1923,,,
GX 354-0,H1743m322,80001044006,3.36380275,25669.3923,,,
GX 354-0,H1743m322,80002040002,3.386968331,28295.4107,,,
GX 354-0,H1743m322,80002040004,3.361448042,28107.1284,,,
GX 354-0,H1743m322,80002040006,3.359708092,26357.3686,,,
GX 354-0,H_1743m322,80202012002,3.422045266,65862.5688,,,
GX 354-0,H_1743m322,80202012004,3.429484595,65688.1101,,,
GX 354-0,IGRJ17402m3656,30161004002,3.531526402,28638.0721,,,
GX 354-0,H_1743m322,90401335002,3.36939301,38447.5074,,,
GX 354-0,Swift_J1728d9m3613,90501303002,2.438702182,16764.6675,,,
GX 354-0,2MASSJ17485512m3254521,60160677002,3.69795166,21801.4007,,,
GX 354-0,Swift_J1756_SADA_19173,90501029002,3.091747043,680.4388,,,
GX 354-0,0,458.0459703,,,,,
,,,,,,,
